GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fitlifespa,com.fitlife.fitlifespa,FitlifespaApplication,5,3,0,0,2,1,1,1,1,1
fitlifespa,com.fitlife.fitlifespa.util,DataLoader,0,50,0,2,0,11,0,2,0,1
fitlifespa,com.fitlife.fitlifespa.controller,AuthController,37,13,0,0,9,5,1,2,1,2
fitlifespa,com.fitlife.fitlifespa.controller,MembresiaController,0,145,0,4,0,28,0,11,0,9
fitlifespa,com.fitlife.fitlifespa.controller,UsuarioController,7,144,0,4,1,28,1,11,1,9
fitlifespa,com.fitlife.fitlifespa.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
fitlifespa,com.fitlife.fitlifespa.exception,GlobalExceptionHandler,34,101,1,3,6,18,4,7,3,6
fitlifespa,com.fitlife.fitlifespa.dto,LoginResponse,9,0,0,0,4,0,1,0,1,0
fitlifespa,com.fitlife.fitlifespa.config,JwtUtil,0,72,1,3,0,18,1,8,0,7
fitlifespa,com.fitlife.fitlifespa.config,JwtAuthenticationFilter,64,9,10,0,15,4,6,1,1,1
fitlifespa,com.fitlife.fitlifespa.config,SecurityConfig,0,110,0,0,0,21,0,8,0,8
fitlifespa,com.fitlife.fitlifespa.service,MembresiaService,11,117,0,4,3,31,1,8,1,6
fitlifespa,com.fitlife.fitlifespa.service,UsuarioService,8,127,0,0,1,32,1,8,1,8
fitlifespa,com.fitlife.fitlifespa.service,CustomUserDetailsService,24,6,0,0,6,3,2,1,2,1
